UT	AU	TI	PY	DI	study_number	coder	main_finding_short	main_finding_long	finding_in_abstract	coding_rule	is_replication	is_exploratory	coder_comments
WOS:000376546400022	"Habes, I; Rushton, S; Johnston, SJ; Sokunbi, MO; Barawi, K; Brosnan, M; Daly, T; Ihssen, N; Linden, DEJ"	fMRI neurofeedback of higher visual areas and perceptual biases	2016	10.1016/j.neuropsychologia.2016.03.031	1								
WOS:000302808200013	"Klasen, M; Weber, R; Kircher, TTJ; Mathiak, KA; Mathiak, K"	Neural contributions to flow experience during video game playing	2012	10.1093/scan/nsr021	1								
WOS:000339860000001	"Simon, D; Becker, MPI; Mothes-Lasch, M; Miltner, WHR; Straube, T"	Effects of social context on feedback-related activity in the human ventral striatum	2014	10.1016/j.neuroimage.2014.05.071	1								
WOS:000365541400013	"Touroutoglou, A; Lindquist, KA; Dickerson, BC; Barrett, LF"	Intrinsic connectivity in the human brain does not reveal networks for 'basic' emotions	2015	10.1093/scan/nsv013	1								
WOS:000302004600022	"Guionnet, S; Nadel, J; Bertasi, E; Sperduti, M; Delaveau, P; Fossati, P"	Reciprocal Imitation: Toward a Neural Basis of Social Interaction	2012	10.1093/cercor/bhr177	1								
WOS:000380847600008	"Shing, YL; Brehmer, Y; Heekeren, HR; Backman, L; Lindenberger, U"	"Neural activation patterns of successful episodic encoding: Reorganization during childhood, maintenance in old age"	2016	10.1016/j.dcn.2016.06.003	1								
WOS:000371942800004	"Kawasaki, I; Ito, A; Fujii, T; Ueno, A; Yoshida, K; Sakai, S; Mugikura, S; Takahashi, S; Mori, E"	Differential activation of the ventromedial prefrontal cortex between male and female givers of social reputation	2016	10.1016/j.neures.2015.07.010	1								
WOS:000456663300005	"van Hoorn, J; McCormick, EM; Rogers, CR; Ivory, SL; Telzer, EH"	Differential effects of parent and peer presence on neural correlates of risk taking in adolescence	2018	10.1093/scan/nsy071	1								
WOS:000327915200023	"Kim, C; Chung, C; Kim, J"	Task-dependent response conflict monitoring and cognitive control in anterior cingulate and dorsolateral prefrontal cortices	2013	10.1016/j.brainres.2013.08.055	1								
WOS:000362134200008	"Basnakova, J; van Berkum, J; Weber, K; Hagoort, P"	A job interview in the MRI scanner: How does indirectness affect addressees and overhearers?	2015	10.1016/j.neuropsychologia.2015.03.030	1								
